source_text,source_label_0,source_label_1,target_text,target_label_0,target_label_1,predicted_text,predicted_label_0,predicted_label_1
factsaboutyouth. com is a resource designed to give educators information for teaching youth about sexual orientation.,0.9854673,0.0145326555,factsaboutyouth. com is a website purportedly designed to give educators information for teaching youth about sexual orientation.,0.09920644,0.9007936,"the the is the, the the the, the,,,,,,, the...",0.49504536,0.5049547
"frequently, understanding why many of the technologies used in the star trek universe are impossible is equally interesting and educational.",0.3156234,0.6843766,"frequently, understanding why many of the technologies used in the star trek universe are implausible is equally interesting and educational.",0.35089257,0.6491074,"the the is the, the the the, the,,,,,,, the...",0.49504536,0.5049547
"red dawn ( 1984 ) is a propaganda movie by john milius about a fictional attack on the united states and, mainly, the guerrilla actions of a group of high school students.",0.023808036,0.976192,"red dawn ( 1984 ) is a movie by john milius about a fictional attack on the united states and, mainly, the guerrilla actions of a group of high school students.",0.94060427,0.05939574,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,, the...",0.4966221,0.5033779
"the durand line is the term for the 2, 640 kilometer ( 1, 610 mile ) arbitrary border between afghanistan and pakistan.",0.0045010587,0.99549896,"the durand line is the term for the 2, 640 kilometer ( 1, 610 mile ) border between afghanistan and pakistan.",0.93750626,0.062493782,"the the is the, the the the the the,,,,,,,,,,, the...",0.5187748,0.48122522
"december 12 : at least 5 israeli soldiers from the bedouin scouts battalion are killed and 10 are injured, as a tunnel rigged with 1500 kg of explosives, combined with two suicide bombers, exploded near the humanitarian rafah crossing between rafah and egypt.",0.03553852,0.96446145,"december 12 : at least 5 israeli soldiers from the bedouin scouts battalion are killed and 10 are injured, as a tunnel rigged with 1500 kg of explosives, combined with two suicide bombers, exploded near the rafah crossing between rafah and egypt.",0.8874767,0.11252329,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5101482,0.48985177
"the ultraconservative john birch society, formed 13 years after his death, is named in honor of him.",0.0067215115,0.99327844,"the conservative john birch society, formed 13 years after his death, is named in honor of him.",0.35487857,0.6451214,"the the is the, the the the, the,,,,,,,,, the...",0.4940359,0.5059641
"university at buffalo, the state university of new york, also commonly known as the university at buffalo ( abbreviated ub ) or suny buffalo, is a premier flagship public research university with multiple campuses located in buffalo and amherst, new york, united states.",0.0021955299,0.99780446,"university at buffalo, the state university of new york, also commonly known as the university at buffalo ( abbreviated ub ) or suny buffalo, is a flagship public research university with multiple campuses located in buffalo and amherst, new york, united states.",0.14704111,0.8529589,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.51837504,0.48162496
"they formed in louisville, kentucky, united states, in 1986. slint's first album tweez was recorded by legendary engineer steve albini in 1987 and released in obscurity on the jennifer hartman records label in 1989. it was followed two years later by the critically acclaimed spiderland, released on the independent label touch and go records.",0.0021989003,0.9978011,"they formed in louisville, kentucky, united states, in 1986. slint's first album tweez was recorded by engineer steve albini in 1987 and released in obscurity on the jennifer hartman records label in 1989. it was followed two years later by the critically acclaimed spiderland, released on the independent label touch and go records.",0.9657628,0.03423718,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5044601,0.4955399
"the second - biggest operation of the u. s. global war on terrorism outside of the united states, and the largest directly connected to terrorism, was the overthrow of the oppressive taliban rule from afghanistan, by a u. s. - led coalition.",0.004861868,0.9951381,"the second - biggest operation of the u. s. global war on terrorism outside of the united states, and the largest directly connected to terrorism, was the overthrow of the taliban rule from afghanistan, by a u. s. - led coalition.",0.6728693,0.3271307,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5101482,0.48985177
isoamyl acetate has a strong pleasant odor ( similar to juicy fruit ) which is also described as similar to both banana and pear.,0.54646593,0.4535341,isoamyl acetate has a strong odor ( similar to juicy fruit ) which is also described as similar to both banana and pear.,0.8784433,0.12155672,"the the is the, the the the the the,,,,,,,,,,,,, the...",0.5198222,0.4801778
"the roman catholic princes of monaco and liechtenstein have not been awarded the title, the other european monarchs ( of denmark, of the netherlands, of norway, of sweden, and of the united kingdom and other commonwealth countries ) are protestant, and the remaining world monarchs are not christian, apart from the catholic king letsie iii of lesotho, who has also not been awarded the title, and the protestant king george tupou v of tonga.",0.5939761,0.4060239,"the roman catholic princes of monaco and liechtenstein have not been awarded the title, the other european monarchs ( of denmark, of the netherlands, of norway, of sweden, and of the united kingdom and other commonwealth countries ) are not roman catholic, and the remaining world monarchs are not christian, apart from the catholic king letsie iii of lesotho, who has also not been awarded the title, and the protestant king george tupou v of tonga.",0.6158887,0.3841113,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.48735604,0.51264393
"it has been and remains extremely popular in algeria, providing a popular memory of the struggle for liberation from france.",0.39343023,0.6065698,"it has been and remains extremely popular in algeria, providing a popular memory of the struggle for independence from france.",0.3937058,0.6062942,"the the is the, the the the, the,,,,,,, the...",0.49504536,0.5049547
it is an important intersection of the a167 and the a688.,0.011648124,0.9883519,it is an intersection of the a167 and the a688.,0.9783452,0.021654721,"the the is the, the the the the the,, the...",0.5519475,0.4480525
"the road has a substantial number of historically important properties and hotels and has been one of the most sought after streets in london, despite being a major traffic throughfare.",0.68796027,0.3120397,"the road has a number of historically important properties and hotels and has been one of the most sought after streets in london, despite being a major traffic throughfare.",0.8249491,0.17505087,"the the is the, the the the the the,,,,,,,,,,,,,,,,,, the...",0.50435823,0.49564174
"during his ontario pc party leadership campaign, brown was noted for his ardent social conservatism, and his criticism of ontario's sex education in schools.",0.6138568,0.3861432,"during his ontario pc party leadership campaign, brown was noted for his social conservatism, and his criticism of ontario's sex education in schools.",0.9031291,0.096870884,"the the is the, the the the the the,,,,,,,,,,,,,,,,, the...",0.5059881,0.49401188
"these doubts soon became certainties, and it is now almost universally admitted that mars possesses no permanent bodies of surface water.",0.45921665,0.5407833,"these doubts soon became certainties, and it is now universally admitted that mars possesses no permanent bodies of surface water.",0.42028746,0.5797125,"the the is the, the the the, the,,,,,,,,, the...",0.4940359,0.5059641
"the city has two unified public school districts, a community college district, many private schools and colleges.",0.5159155,0.4840845,"the city has two unified public school districts, a community college district, private schools and colleges.",0.95263994,0.04736004,"the the is the, the the the, the,,,,, the...",0.48995644,0.51004356
"aiming at palestinian qassam rockets and grad launchers in an open area, seven of the shells landed 1 km off target and hit houses in the outskirts of beit hanoun.",0.8253609,0.17463909,"although israel claimed they aimed at palestinian qassam rockets and grad launchers in an open area, seven of the shells landed 1 km off target and hit houses in the outskirts of beit hanoun.",0.50862855,0.49137142,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,, the...",0.5024524,0.4975476
"the point of view of each chapter in the story is a limited perspective of a range of characters growing from nine, in the first novel, to eighteen by the fifth.",0.6284626,0.3715374,"the point of view of each chapter in the story is a limited perspective of a range of characters growing from nine, in the first novel, to thirty - one by the fifth.",0.6116049,0.38839507,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,, the...",0.5025514,0.49744856
"he was originally sentenced to 13 years in prison, but was subsequently re - sentenced to just four - and - a - half years.",0.007589367,0.99241066,"he was originally sentenced to 13 years in prison, but was subsequently re - sentenced to four - and - a - half years.",0.99518365,0.004816326,"the the is the, the the the the the,,,,,,,,,,,, the...",0.51933676,0.48066324
"niven, jr. is a talented film producer and film actor, his credits include rush hour 3, the cool surface, psycho cop returns, and the girl with the hungry eyes.",0.0022348831,0.99776506,"niven, jr. is a film producer and film actor, his credits include rush hour 3, the cool surface, psycho cop returns, and the girl with the hungry eyes.",0.995612,0.004387922,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,, the...",0.5024524,0.4975476
"he also denied many aspects of the holocaust, claiming death figures were far lower, arguing that all sides were guilty of equally awful atrocities.",0.20530102,0.79469895,"he also contested many aspects of the holocaust, claiming death figures were far lower, arguing that all sides were guilty of equally awful atrocities.",0.20587437,0.7941256,"the the is the, the the the the the,,,,,,,,,,,, the...",0.51933676,0.48066324
"in 2002, 102 notable people put their name to a letter to the bbc governors, drawn up by the british humanist association, the national secular society, and the rationalist press association.",0.34163916,0.6583608,"in 2002, 102 people put their name to a letter to the bbc governors, drawn up by the british humanist association, the national secular society, and the rationalist press association.",0.97313505,0.02686495,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,, the...",0.5024524,0.4975476
"it was announced on 5 june 2013 that due to the phenomenal success of series 1 and consistently high ratings, itv had recommissioned endeavour for a second series of four episodes.",0.009769317,0.99023074,"it was announced on 5 june 2013 that due to the success of series 1 and consistently high ratings, itv had recommissioned endeavour for a second series of four episodes.",0.9370525,0.062947564,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,, the...",0.5024524,0.4975476
perhaps the most fascinating collection of archives amongst the charities section are those of the foundling hospital.,0.0014773238,0.9985227,perhaps the most notable collection of archives amongst the charities section are those of the foundling hospital.,0.98872477,0.011275166,"the the is the, the the the, the,,,, the...",0.49537688,0.5046232
"furedi has worked in pro - abortion organizations for more than 20 years, mainly in policy and communications.",0.010144756,0.9898552,"furedi has worked in pro - choice organizations for more than 20 years, mainly in policy and communications.",0.30884904,0.69115096,"the the is the, the the the, the,,,,,,, the...",0.49504536,0.5049547
clifton hampden is a picturesque village located in south oxfordshire on the river thames.,0.0019435919,0.9980564,clifton hampden is a village located in south oxfordshire on the river thames.,0.9917822,0.0082178,"the the is the, the the the the the,, the...",0.5519475,0.4480525
"under the older cronquist system, the brassicales were called the capparales, and included among the dileniidae.",0.0024428293,0.99755716,"under the cronquist system, the brassicales were called the capparales, and included among the dileniidae.",0.99712014,0.0028798673,"the the is the, the the the the the,,,,,,,,,,,, the...",0.51933676,0.48066324
van helsing is a member of a large organization called the knights of the holy order who protect mankind from an evil they'have no idea even exists '.,0.006705279,0.99329466,van helsing is a member of a large organization called the knights of the holy order who protect humankind from an evil they'have no idea even exists '.,0.7848335,0.21516646,"the the is the, the the the the the,,,,,,,,,,,,,,,,,, the...",0.50435823,0.49564174
"in later years, isi became extremely influential as a clearinghouse of conservative publications and as a coordinator of the conservative intellectual movement in america.",0.2512037,0.74879634,"in later years, isi became extremely influential as a clearinghouse of conservative publications and as a locus of the conservative intellectual movement in america.",0.3375797,0.6624203,"the the is the, the the the the the,,,,,,,,,,,,, the...",0.5198222,0.4801778
captives whose cases were amalgamated with boumediene v. bush,0.6092527,0.39074725,detainees whose cases were amalgamated with boumediene v. bush,0.9491978,0.050802127,"the the is the, the the the the the..",0.6134166,0.3865834
"thirty - nine spectators, mainly juventus fans, were tragically killed when liverpool fans charged a section of juventus fans.",0.0011638701,0.9988361,"thirty - nine spectators, mainly juventus fans, were killed when liverpool fans charged a section of juventus fans.",0.9833898,0.016610203,"the the is the, the the the, the,,,,,,,, the...",0.49953413,0.50046587
"he enjoys the true breadfruit, which is good in many dishes but best simply baked.",0.018611535,0.98138845,"he enjoys the true breadfruit, which he considers good in many dishes but best simply baked.",0.046579175,0.9534208,"the the is the, the the the, the,,,, the...",0.49537688,0.5046232
"euro - mps were accosted by activists handing out a propaganda video accusing five european commissioners of corruptly colluding with big pharmaceutical firms in an attempt to destroy the alternative network of homeopathic and "" natural medicines "", though it emerged that most homeopathic practice in the uk has been illegal for some years and proposed european regulatory changes do not materially affect this.",0.020744087,0.9792559,"euro - mps were accosted by activists handing out a video accusing five european commissioners of corruptly colluding with big pharmaceutical firms in an attempt to destroy the alternative network of homeopathic and "" natural medicines "", though it emerged that most homeopathic practice in the uk has been illegal for some years and proposed european regulatory changes do not materially affect this.",0.075858645,0.9241414,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.4922133,0.50778663
"@ the granada theater is a 2005 live album by emo pioneers the get up kids, announced the same day that the band announced that they would be breaking up after ten years.",0.015349638,0.98465043,"@ the granada theater is a 2005 live album by emo band the get up kids, announced the same day that the band announced that they would be breaking up after ten years.",0.0051825987,0.99481744,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,, the...",0.4966221,0.5033779
"famous russian battle tanks include t34, the best tank design of world war ii, and further tanks of t - series, including the most produced tank in history, t54 / 55.",0.059516497,0.9404835,"famous russian battle tanks include t34, the most heavily produced tank design of world war ii, and further tanks of t - series, including the most produced tank in history, t54 / 55.",0.06449502,0.93550503,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,, the...",0.49835142,0.50164855
"gmail sorts e - mail only by conversations ( threads ), which is a problem for large conversations.",0.754997,0.24500296,"gmail sorts e - mail only by conversations ( threads ), which can be a problem for large conversations.",0.7331634,0.26683655,"the the is the, the the the, the,,,,,, the...",0.49414745,0.5058526
"the reason for this is that castilian nationalism was the first to have been destroyed by the spanish crown during the revolt and war of the castilian war of the communities against the spanish monarchy, between 1520 and 1521.",0.40460888,0.5953911,"the reason for this is that castilian nationalism was the first to have been stopped by the spanish crown during the revolt and war of the castilian war of the communities against the spanish monarchy, between 1520 and 1521.",0.7532932,0.24670678,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.4917779,0.5082221
"lemond's comeback was confirmed by winning his second world cycling championship road race several weeks later, impressively beating sean kelly in the final sprint.",0.0017447337,0.9982553,"lemond's comeback was confirmed by winning his second world cycling championship road race several weeks later, beating sean kelly in the final sprint.",0.8079234,0.19207656,"the the is the, the the the the the,,,,,,,,,,,,,,, the...",0.5067015,0.49329847
"radley college ( st peter's college, radley ) is a famous english public school situated on the edge of the village of radley near abingdon in oxfordshire.",0.003087164,0.99691284,"radley college ( st peter's college, radley ) is a english public school situated on the edge of the village of radley near abingdon in oxfordshire.",0.9959603,0.004039706,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,, the...",0.49893788,0.5010621
"the hoax claims are generally dismissed as baseless by knowledgeable scientists, technicians and engineers.",0.24850765,0.7514924,"the hoax claims are generally dismissed as baseless by orthodox scientists, technicians and engineers.",0.3313137,0.6686863,"the the is the, the the the, the,,, the...",0.5036597,0.49634027
"the americas may alternatively be referred to as america ; however, america may be ambiguous as, in english and several other languages, it can refer to either this entire landmass or just the united states of america.",0.6161669,0.38383317,"the americas may alternatively be referred to as america ; however, america may be ambiguous as, in english and other languages, it can refer to either this entire landmass or just the united states of america.",0.61853975,0.38146028,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5165558,0.48344418
"33 in august 2012. in january 2017, he upset defending champion novak djokovic in the second round of the australian open.",0.017247934,0.98275214,"33 in august 2012. in january 2017, he defeated defending champion novak djokovic in the second round of the australian open.",0.9905055,0.009494484,"the the is the, the the the the the,,,,,,,,,,, the...",0.5187748,0.48122522
"in vancouver, it was reported that most attendees at the event were hundreds of ogling men using camera phones to take pictures, especially of a small number of women who were topless.",0.021432951,0.9785671,"in vancouver, it was reported that most attendees at the event were hundreds of men using camera phones to take pictures, especially of a small number of women who were topless.",0.4867641,0.51323587,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,, the...",0.5024524,0.4975476
"this highly popular observational documentary featuring iconic haulage firm eddie stobart shows stobarts haulage, rail and air divisions.",0.011750353,0.98824966,"this highly popular observational documentary featuring haulage firm eddie stobart shows stobarts haulage, rail and air divisions.",0.4727415,0.5272585,"the the is the, the the the the the,,,,,,,,,,,, the...",0.51933676,0.48066324
"yusuf al - qaradawi ( arabic : يوسف القرضاوي ) ( born september 9, 1926 ) is a modern muslim scholar and preacher best known for his popular al - jazeera program, ash - shariah wal - hayat ( "" shariah and life "" ), and his website islamonline that was launched in 1997. he has also published some 50 books, including the lawful and the prohibited in islam and islam : the future civilization.",0.42118242,0.57881755,"yusuf al - qaradawi ( arabic : يوسف القرضاوي ) ( born september 9, 1926 ) is a muslim scholar and preacher best known for his popular al - jazeera program, ash - shariah wal - hayat ( "" shariah and life "" ), and his website islamonline that was launched in 1997. he has also published some 50 books, including the lawful and the prohibited in islam and islam : the future civilization.",0.46530294,0.53469706,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.4706445,0.5293555
"jeff ragsdale is an american author, activist, actor, and national game show champion.",0.7728466,0.22715344,"jeff ragsdale is an american author, activist, actor, and national game show winner.",0.8484857,0.15151432,"the the is the, the the the, the,,, the...",0.5036597,0.49634027
zakaria further speculated that there are foreign intelligence agencies working in conjunction with local terrorist organizations to carry out attacks such as the one in quetta.,0.23632471,0.7636753,zakaria further said that there are foreign intelligence agencies working in conjunction with local terrorist organizations to carry out attacks such as the one in quetta.,0.42651042,0.5734896,"the the is the, the the the the the,,,,,,,,,,,,,,, the...",0.5067015,0.49329847
"), a fictional group of zealous anti - smoking enforcers mentioned in a funny fake ad on rush limbaugh's radio show.",0.008491696,0.99150825,"), a fictional group of zealous anti - smoking enforcers mentioned in a fake ad on rush limbaugh's radio show.",0.011906873,0.9880931,"the the is the, the the the the the,,,,,,,,,,,,,,, the...",0.5067015,0.49329847
the numa numa video has been made famous for brolsma's bizarre arm moves and facial expressions.,0.069261,0.930739,the numa numa video has been made famous for brolsma's entertaining arm moves and facial expressions.,0.0060875947,0.99391246,"the the is the, the the the, the,,,,,,,, the...",0.49953413,0.50046587
aaron rosand ( born 15 march 1927 ) is an american eminent violinist.,0.0035825965,0.9964174,aaron rosand ( born 15 march 1927 ) is an american violinist.,0.99497354,0.005026511,"the the is the, the the the the the the the..",0.61318755,0.38681248
"furthermore, garforth community arts school ( situated in garforth community college ) runs the garforth arts festival, which is a display of artistic talent.",0.99692196,0.0030780025,"furthermore, garforth community arts school ( situated in garforth community college ) runs the garforth arts festival, which is a display of artistic works.",0.9976568,0.0023431724,"the the is the, the the the the the,,,,,,,,,,,,,,,,,, the...",0.50435823,0.49564174
"the indian writer pankaj mishra raises the point made by the emininent indian economist amartya sen that despite the gigantic size of excess mortality in the chinese famine, the extra mortality in india from regular deprivation in normal times vastly overshadows the former.",0.03789639,0.96210355,"the indian writer pankaj mishra raises the point made by the indian economist amartya sen that despite the gigantic size of excess mortality in the chinese famine, the extra mortality in india from regular deprivation in normal times vastly overshadows the former.",0.89312065,0.10687939,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.52708,0.47292003
"however, ellis is better - known for several bizarre incidents :",0.027976157,0.9720239,"however, ellis is better - known for several incidents :",0.7934055,0.20659456,"the the is the, the the the the..",0.61955684,0.3804432
"13 june kathy burke, actress and comedienne",0.0013268938,0.9986731,"13 june kathy burke, actress and comedian",0.9984937,0.0015062806,"the the is the, the the..",0.5488468,0.4511532
"holycross led by two points at the interval and eventually won the game by 013 to 010, giving doyle a coveted championship medal.",0.0014191793,0.9985808,"holycross led by two points at the interval and eventually won the game by 013 to 010, giving doyle a tipperary senior hurling championship medal.",0.9972427,0.002757277,"the the is the, the the the the the,,,,,,,,,,,,, the...",0.5198222,0.4801778
"in june 1923, when dictatorial prime minister aleksandr stamboliiski was deposed through a coup d'tat, stamboliiski's communists allies, who were initially reluctant to intervene, organized an uprising against alexander tsankov.",0.01762691,0.9823731,"in june 1923, when prime minister aleksandr stamboliiski was deposed through a coup d'tat, stamboliiski's communists allies, who were initially reluctant to intervene, organized an uprising against alexander tsankov.",0.8032961,0.19670396,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.51837504,0.48162496
"it was revealed that in a straits times article dated back in 1987, dr tan had supported the singaporean government's controversial operation spectrum while he was in parliament, which saw 22 young roman catholic church and social activists and professionals detained without trial.",0.32220775,0.67779225,"it was revealed that in a straits times article dated back in 1987, dr tan had spoken regarding the singaporean government's controversial operation spectrum while he was in parliament, which saw 22 young roman catholic church and social activists and professionals detained without trial.",0.3114237,0.6885763,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.50814825,0.49185178
"in his native country of iran, women are unjustly treated by the country's dictator, mahmoud ahmadinejad, influential religious officials, and the traditional muslim society as a whole.",0.027531384,0.9724687,"in his native country of iran, women are unjustly treated by the country's leaders, mahmoud ahmadinejad, influential religious officials, and the traditional muslim society as a whole.",0.0063157957,0.99368423,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,, the...",0.49835142,0.50164855
"kravis began his education at the eaglebrook school, ('60 ) followed by high school at the prestigious loomis chaffee school.",0.0015486358,0.99845135,"kravis began his education at the eaglebrook school, ('60 ) followed by high school at the loomis chaffee school.",0.97620845,0.023791555,"the the is the, the the the the the,,,,,,,,,,,,,,,, the...",0.50001997,0.49998
"judy canova ( 1913 - 1983 ), born juliette canova, comedienne, actress, singer, and radio personality",0.0012565588,0.9987435,"judy canova ( 1913 - 1983 ), born juliette canova, comedian, actress, singer, and radio personality",0.99855214,0.0014478839,"the the is the, the the the the the,,,,,,,,,, the...",0.5181193,0.4818807
"it is haneke's debut feature film, inspired by a terrifying true story of a family that committed suicide.",0.0035758722,0.99642414,"it is haneke's debut feature film, inspired by a true story of a family that committed suicide.",0.3862089,0.6137911,"the the is the, the the the, the,,,,,,,, the...",0.49953413,0.50046587
"along with nelson, waylon jennings was also achieving massive success in country music in the early 1970s, and the pair were soon combined into a genre called outlaw country ( "" outlaw "" because it did not conform to nashville standards ).",0.04890723,0.9510928,"along with nelson, waylon jennings was also achieving success in country music in the early 1970s, and the pair were soon combined into a genre called outlaw country ( "" outlaw "" because it did not conform to nashville standards ).",0.935311,0.06468901,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.49126694,0.5087331
"63 lebanese civilians have been killed, and more than 159 have been injured.",0.90001553,0.09998451,"63 lebanese have been killed, and more than 159 have been injured.",0.9508668,0.049133163,"the the is the, the the the the the the the..",0.61318755,0.38681248
"through his analysis of greek and hebrew grammar, direct statements of scripture, and use of orthodox doctrinal rationales, thieme taught that there is no human life in a fetus, and that it doesn't become a living human being until the point of birth.",0.7262294,0.27377057,"through his analysis of greek and hebrew grammar, direct statements of scripture, and use of doctrinal rationales, thieme taught that there is no human life in a fetus, and that it doesn't become a living human being until the point of birth.",0.9228289,0.07717108,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.52946156,0.47053847
gemma louise ward ( born 3 november 1987 ) is an australian supermodel and actress.,0.002003112,0.99799687,gemma louise ward ( born 3 november 1987 ) is an australian model and actress.,0.9977436,0.0022563965,"the the is the, the the the, the,,, the...",0.5036597,0.49634027
damian taylor is a grammy - nominated music producer.,0.0013985405,0.9986015,damian taylor is a music producer.,0.99771655,0.0022835068,"the the is the, the the..",0.5488468,0.4511532
the innocent brazilian was shot six times by police exercising a shoot - to - kill policy.,0.0029563138,0.99704367,the brazilian was shot six times by police exercising a shoot - to - kill policy.,0.9616679,0.03833215,"the the is the, the the the, the,,, the...",0.5036597,0.49634027
"the program began as a young greek boy sailed into the stadium on a'paper - ship'waving the host nation's flag to haunting music by hadjidakis and then a centaur appeared, followed by a gigantic head of a cycladic figurine which eventually broke into many pieces symbolising the greek islands.",0.005633229,0.9943667,"the program began as a young greek boy sailed into the stadium on a'paper - ship'waving the host nation's flag to ethereal music by hadjidakis and then a centaur appeared, followed by a gigantic head of a cycladic figurine which eventually broke into many pieces symbolising the greek islands.",0.7716251,0.22837496,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5133694,0.48663056
anina. net - a successful fashion model's blog,0.033567782,0.96643215,anina. net - a fashion model's blog,0.99807847,0.0019215159,"the the is the, the the the the..",0.61955684,0.3804432
it was awarded the prestigious rashtriya vikas ratna award for growth for the 2005 - 2006 school year by the government of india.,0.0012805766,0.99871945,it was awarded the rashtriya vikas ratna award for growth for the 2005 - 2006 school year by the government of india.,0.9972306,0.0027693822,"the the is the, the the the the the,,,,,,,,,,,,, the...",0.5198222,0.4801778
"after the ostentatious funerals of ion moa and vasile marin, they became a prominent part of legionary mythology.",0.2628858,0.73711413,"after the extravagant and widely - publicized funerals of ion moa and vasile marin, they became a prominent part of legionary mythology.",0.3328326,0.6671674,"the the is the, the the the the the,,,,,,,,,,,,, the...",0.5198222,0.4801778
"cartmel was hired as the script editor for the twenty - fourth season of the iconic science - fiction programme doctor who, having been recommended to the producer john nathan - turner by the producer's agent, who had seen some unproduced scripts cartmel had written.",0.009763952,0.990236,"cartmel was hired as the script editor for the twenty - fourth season of the science - fiction programme doctor who, having been recommended to the producer john nathan - turner by the producer's agent, who had seen some unproduced scripts cartmel had written.",0.99633116,0.0036688119,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.5245154,0.4754846
warner announced that prince would release a remastered deluxe edition of his 1984 album purple rain in 2014 to celebrate the 30th anniversary of the breakthrough album.,0.11886778,0.88113225,warner announced that prince would release a remastered deluxe edition of his 1984 album purple rain in 2014 to celebrate the 30th anniversary of the album.,0.96934927,0.030650707,"the the is the, the the the the the,,,,,,,,,,,,, the...",0.5198222,0.4801778
"feature. fm is currently partnered with 8tracks, deezer, sua musica, and a vast network of music websites and blogs.",0.007896217,0.9921038,"feature. fm is currently partnered with 8tracks, deezer, sua musica, and a network of music websites and blogs.",0.9632076,0.036792416,"the the is the, the the the the the,,,,,,,,,,,,, the...",0.5198222,0.4801778
"he fearlessly combined cubism and cartooning, art historical tradition and the latest apple product, employing the artistic canon like a box of crayons to be mixed and matched at will.",0.0017196136,0.9982804,"he combined cubism and cartooning, art historical tradition and the latest apple product, employing the artistic canon like a box of crayons to be mixed and matched at will.",0.93548256,0.06451737,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,, the...",0.49835142,0.50164855
"the incorporation of the features into the operating system offers a number of advantages, including :",0.5842866,0.41571343,"the incorporation of the features into the operating system is meant to provide a number of advantages, including :",0.8989732,0.10102679,"the the is the, the the the the the,, the...",0.5519475,0.4480525
"january 21 colonel tom parker, 87, manager of prolific country singers eddy arnold and hank snow, comedienne minnie pearl",0.0011993513,0.99880064,"january 21 colonel tom parker, 87, manager of prolific country singers eddy arnold and hank snow, comedian minnie pearl",0.99759185,0.0024081797,"the the is the, the the the, the,,,,,,,,, the...",0.4940359,0.5059641
"may 21 - in rome, laszlo toth attacks michelangelo's pieta statue with a sledgehammer, shouting that he is jesus christ.",0.6162755,0.38372454,"may 21 - in rome, laszlo toth attacks michelangelo's pieta statue with a sledgehammer, shouting that he is jesus of nazareth.",0.8454518,0.15454818,"the the is the, the the the the the,,,,,,,,,,,,,, the...",0.515562,0.48443803
the by - election was triggered by the assassination of incumbent member of parliament ( mp ) jo cox on 16 june 2016.,0.059289403,0.9407106,the by - election was triggered by the killing of incumbent member of parliament ( mp ) jo cox on 16 june 2016.,0.88303286,0.11696717,"the the is the, the the the, the,,,,,,,,, the...",0.4940359,0.5059641
lightfoot's fantastic song sundown was written about his one time girlfriend cathy smith ( who had worked for a time as a bus driver on his tours ).,0.0015968819,0.99840313,lightfoot's song sundown was written about his one time girlfriend cathy smith ( who had worked for a time as a bus driver on his tours ).,0.9967146,0.003285393,"the the is the, the the the the the,,,,,,,,,,,,,,,,,, the...",0.50435823,0.49564174
